,alpha
2015-08-11,155.23048606836565
2015-08-12,156.62823737562707
2015-08-13,156.74528597968552
2015-08-14,156.70287639798642
2015-08-17,156.7269634664434
2015-08-18,156.12565740559594
2015-08-19,153.5625503505137
2015-08-20,151.6248281808425
2015-08-21,144.73415011396088
2015-08-24,153.67565668873027
2015-08-25,153.7785603747879
2015-08-26,157.83595122478033
2015-08-27,163.23899354673924
2015-08-28,164.7347551937308
2015-08-31,166.8204809595103
2015-09-01,167.45177022616042
2015-09-02,166.55423675912712
2015-09-03,167.42928438438742
2015-09-04,169.61425939247505
2015-09-08,171.71268618537243
2015-09-09,169.83708130226765
2015-09-10,169.55804160714462
2015-09-11,168.63542137744278
2015-09-14,167.62240434168766
2015-09-15,167.71758284711407
2015-09-16,169.60105324003706
2015-09-17,169.03645842030613
2015-09-18,170.07412961353532
2015-09-21,166.44780449137693
2015-09-22,166.86747219451016
2015-09-23,162.22558065989148
2015-09-24,167.69557188164174
